,Unnamed: 0,Unnamed: 0.1,center-lon,center-lat,xmin,ymin,xmax,ymax,strain-rate,strainratecor
0,0,0,129.0,31.0,128.78598835819471,30.82024572409516,129.21401164180529,31.17975427590484,0.0,0.0
1,1,1,129.0,31.17975427590484,128.78598835819471,31.0,129.21401164180529,31.35950855180968,0.0,0.0
2,2,2,129.0,31.35950855180968,128.78598835819471,31.17975427590484,129.21401164180529,31.53926282771452,0.0,0.0
3,3,3,129.0,31.53926282771452,128.78598835819471,31.35950855180968,129.21401164180529,31.71901710361935,0.0,0.0
4,4,4,129.0,31.71901710361935,128.78598835819471,31.53926282771452,129.21401164180529,31.89877137952419,0.0,0.0
5,5,5,129.0,31.89877137952419,128.78598835819471,31.71901710361935,129.21401164180529,32.078525655429026,0.0,0.0
6,6,6,129.0,32.078525655429026,128.78598835819471,31.89877137952419,129.21401164180529,32.258279931333874,0.0,0.0
7,7,7,129.0,32.25827993133386,128.78598835819471,32.07852565542902,129.21401164180529,32.4380342072387,0.0,0.0
8,8,8,129.0,32.4380342072387,128.78598835819471,32.25827993133386,129.21401164180529,32.61778848314354,0.0,0.0
9,9,9,129.0,32.61778848314354,128.78598835819471,32.4380342072387,129.21401164180529,32.79754275904838,0.0,0.0
10,10,10,129.0,32.797542759048376,128.78598835819471,32.61778848314353,129.21401164180529,32.97729703495322,0.0,0.0
11,11,11,129.0,32.97729703495321,128.78598835819471,32.79754275904837,129.21401164180529,33.15705131085805,0.0,0.0
12,12,12,129.0,33.15705131085805,128.78598835819471,32.97729703495321,129.21401164180529,33.33680558676289,0.0,0.0
13,13,13,129.0,33.33680558676289,128.78598835819471,33.15705131085805,129.21401164180529,33.516559862667734,0.0,0.0
14,14,14,129.0,33.516559862667734,128.78598835819471,33.336805586762885,129.21401164180529,33.69631413857257,0.0,0.0
15,15,15,129.0,33.69631413857256,128.78598835819471,33.51655986266772,129.21401164180529,33.8760684144774,0.0,0.0
16,16,16,129.0,33.8760684144774,128.78598835819471,33.69631413857256,129.21401164180529,34.055822690382236,0.0,0.0
17,17,17,129.21401164180529,31.0,129.0,30.82024572409516,129.42802328361054,31.17975427590484,0.0,0.0
18,18,18,129.21401164180529,31.17975427590484,129.0,31.0,129.42802328361054,31.35950855180968,0.0,0.0
19,19,19,129.21401164180529,31.35950855180968,129.0,31.17975427590484,129.42802328361054,31.53926282771452,0.0,0.0
20,20,20,129.21401164180529,31.53926282771452,129.0,31.35950855180968,129.42802328361054,31.71901710361935,0.0,0.0
21,21,21,129.21401164180529,31.71901710361935,129.0,31.53926282771452,129.42802328361054,31.89877137952419,0.0,0.0
22,22,22,129.21401164180529,31.89877137952419,129.0,31.71901710361935,129.42802328361054,32.078525655429026,0.0,0.0
23,23,23,129.21401164180529,32.078525655429026,129.0,31.89877137952419,129.42802328361054,32.258279931333874,0.0,0.0
24,24,24,129.21401164180529,32.25827993133386,129.0,32.07852565542902,129.42802328361054,32.4380342072387,0.0,0.0
25,25,25,129.21401164180529,32.4380342072387,129.0,32.25827993133386,129.42802328361054,32.61778848314354,0.0,0.0
26,26,26,129.21401164180529,32.61778848314354,129.0,32.4380342072387,129.42802328361054,32.79754275904838,0.0,0.0
27,27,27,129.21401164180529,32.797542759048376,129.0,32.61778848314353,129.42802328361054,32.97729703495322,0.0,0.0
